378,Liberal,Doug James,Calgary Centre-North
379,Green Party,Craig Bridges,Nipissing--Timiskaming
380,Conservative,John Brassard,Barrie--Innisfil
381,Conservative,Jojo Quimpo,Vancouver Kingsway
382,Liberal,Steven Kou,Richmond Centre
383,Liberal,Jaswinder S. Johal,Calgary Northeast
384,NDP-New Democratic Party,Jean-Fran�ois Paradis,Jonqui�re--Alma
385,Marxist-Leninist,Alexandre Legeais,Ottawa--Vanier
386,Conservative,Michael McGinnis,Halifax West
387,Liberal,Bernie Kennedy,Macleod
388,NDP-New Democratic Party,Stephen Crozier,South Surrey--White Rock
389,VCP,Jody O'Blenis,Cumberland--Colchester
390,NDP-New Democratic Party,Mehdi Mollahasani,Willowdale
391,Liberal,Pierre Côté,Drummond
392,NDP-New Democratic Party,Jack Harris,St. John's East 
393,Conservative,Maxime Bernier,Beauce
394,NDP-New Democratic Party,Vicky Wilkin,Vaughan
395,Conservative,Eddie Orrell,Sydney--Victoria
396,Green Party,Luc Melanson,Moncton--Riverview--Dieppe
397,NDP-New Democratic Party,Leah Gazan,Winnipeg Centre
398,Liberal,Gudie Hutchings,Long Range Mountains
399,Green Party,Jacques Rigal,Laurentides--Labelle
400,Liberal,Mélanie Joly,Ahuntsic-Cartierville
401,NDP-New Democratic Party,Michelene Gray,Labrador
402,Liberal,Joe Fontana,London North Centre
403,Bloc Qu�b�cois,Pauline Picard,Drummond
404,Green Party,Michael Wolfe,Richmond
405,Conservative,Wayne Ruth,Long Range Mountains
406,NDP-New Democratic Party,Ana Maria Rivero,Etobicoke Centre
407,Animal Protection Party,Chanel Lalonde,Sudbury
408,NDP-New Democratic Party,Lynn Macwilliam,Bow River
409,Liberal,Diana Cabott,Kelowna--Lake Country
410,Liberal,MaryAnn Mihychuk,Kildonan--St. Paul
411,NDP-New Democratic Party,George N. Addison,St. Catharines
412,Conservative,Leon O'Connor,Hamilton Centre
413,Conservative,Lisa Lumley,Windsor West
414,ML,Brian Sproule,Burnaby South
415,NDP-New Democratic Party,Sid Ryan,Oshawa
416,People's Party,Rocky Dong,Burnaby North--Seymour
417,Liberal,Lou Doderai,Prince Albert
418,Independent,Kyle Murphy,Edmonton--Strathcona
419,NDP-New Democratic Party,Sadia Groguh�,Saint-Lambert
420,Green Party,Nathan Townend,Kingston and the Islands
421,Marxist-Leninist,Nick Lin,Trinity--Spadina
422,Bloc Québécois,Yves Lessard,Beloeil--Chambly
423,Green Party,Mark Glass,Tobique--Mactaquac
424,Bloc Québécois,Gilbert Paquette,LaSalle--Émard--Verdun
425,NDP-New Democratic Party,Zahia El-Masri,Ahuntsic-Cartierville
426,Parti Rhinocéros Party,Otto Wevers,Richmond Hill
427,Green Party,Shawn Setyo,Saskatoon West
428,Conservative,Darrel Robert Reid,Richmond
429,Green Party,Charles Sicotte,Marc-Aur�le-Fortin
430,Independent,Bob Bowers,Peterborough
431,Christian Heritage Party,Peter Downing,Edmonton Mill Woods
432,neorhino.ca,S�bastien C�rriveau,Sherbrooke
433,Christian Heritage Party,Stefan Jetchick,Louis-H�bert
434,People's Party,Al Muir,Central Nova
435,Green Party,Arno Schortinghuis,Vancouver Kingsway
436,CAP,Chai Kalevar,Pickering--Scarborough East
437,Conservative,Shama Chopra,Papineau
438,Independent,Mahmood Raza Baig,Papineau
439,Marxist-Leninist,Margaret Villamizar,London West
440,Green Party,Carmen Budilean,Saint-Lambert
441,Conservative,Steve Shanahan,Ville-Marie--Le Sud-Ouest--Île-des-Soeurs
442,Conservative,David Peter Gentili,Toronto Centre
443,Bloc Québécois,Nicolas Roussy,Gaspésie--Les Îles-de-la-Madeleine
444,Green Party,Réjean Malette,Dorval--Lachine--LaSalle
445,Conservative,Jim Prentice,Calgary Centre-North
446,Independent,Ali Hamadi,London--Fanshawe
447,NDP-New Democratic Party,Joël Charest,Avignon--La Mitis--Matane--Matapédia
448,Marxist-Leninist,Polyvios Tsakanikas,Laval--Les �les
449,Liberal,Sangeeta Lalli,Cariboo--Prince George
450,Liberal,Janna Francis,Okanagan--Shuswap
451,NDP-New Democratic Party,Mike Shields,Oshawa
452,Green Party,Fran�ois Desgroseilliers,Brossard--La Prairie
453,Green Party,Brian Sarwer-Foner,Mount Royal
454,Green Party,Zane Lewis,Peace River
455,Christian Heritage Party,Kevin Pielak,Surrey North
456,Christian Heritage Party,Melissa Penner,Charleswood--St. James--Assiniboia--Headingley
457,Bloc Québécois,Mario Beaulieu,La Pointe-de-l'Île
458,Liberal,Anthony Housefather,Mount Royal
459,Bloc Québécois,Nicolas Bourdon,Ahuntsic-Cartierville
460,Liberal,Peter Njenga,Abbotsford
461,Canadian Action,Tim Cayzer,Calgary West
462,Christian Heritage Party,Robin Morton Stanbridge,Cowichan--Malahat--Langford
463,Green Party,Richard Domm,Lotbini�re--Chutes-de-la-Chaudi�re
464,NDP-New Democratic Party,Rob Boulet,Nipissing--Timiskaming
465,Liberal,Patricia Zipchen,Saskatoon--Wanuskewin
466,Parti Rhinocéros Party,Steve Côté,Sherbrooke
467,NDP-New Democratic Party,Leslie Parsons,Dufferin--Caledon
468,Canadian Action,John Riddell,Trinity--Spadina
